 2016-05-01 21:01:46,887 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-05-01 21:01:46,887 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-05-01 21:01:46,890 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-05-01 21:01:46,914 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 24ms)
 2016-05-01 21:01:47,145 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-05-01 21:01:47,173 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 28ms)
 2016-05-01 21:02:24,921 [P3692/D2/T19] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-04-30 21:02:24
 2016-05-01 21:26:09,680 [P3692/D2/T127] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-05-01 21:26:09,680 [P3692/D2/T127] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-05-01 21:26:43,138 [P3692/D2/T127] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling creation of PropertyType 'Page Icon'. Could not find DataTypeDefintion with unique id '5dfdaed3-28a4-47ce-893b-8c25dfc497b5' nor one referencing the DataType with a property editor alias (or legacy control id) 'FontAwesomeIconsDD'. Did the package creator forget to package up custom datatypes? This property will be converted to a label/readonly editor if one exists.
 2016-05-01 21:26:43,482 [P3692/D2/T127] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-05-01 21:26:43,584 [P3692/D2/T127] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 101ms)
 2016-05-01 21:27:02,700 [P3692/D2/T137] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling allowed templates. Template with alias 'Home' could not be found.
 2016-05-01 21:27:02,700 [P3692/D2/T137] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling default template. Default template with alias 'Home' could not be found.
 2016-05-01 21:27:02,730 [P3692/D2/T137] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling DocumentType structure. DocumentType with alias 'StandardTextPage' could not be found and was not added to the structure for 'HomePage'.
 2016-05-01 21:27:02,730 [P3692/D2/T137] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling DocumentType structure. DocumentType with alias 'AboutPage' could not be found and was not added to the structure for 'HomePage'.
 2016-05-01 21:27:02,730 [P3692/D2/T137] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling DocumentType structure. DocumentType with alias 'TeamsLandingPage' could not be found and was not added to the structure for 'HomePage'.
 2016-05-01 21:27:02,730 [P3692/D2/T137] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling DocumentType structure. DocumentType with alias 'EventsLandingPage' could not be found and was not added to the structure for 'HomePage'.
 2016-05-01 21:27:02,730 [P3692/D2/T137] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling DocumentType structure. DocumentType with alias 'NewsLandingPage' could not be found and was not added to the structure for 'HomePage'.
 2016-05-01 21:27:02,730 [P3692/D2/T137] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling DocumentType structure. DocumentType with alias 'ContactPage' could not be found and was not added to the structure for 'HomePage'.
 2016-05-01 21:27:02,730 [P3692/D2/T137] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling DocumentType structure. DocumentType with alias 'SponsorsLandingPage' could not be found and was not added to the structure for 'HomePage'.
 2016-05-01 21:27:25,799 [P3692/D2/T130] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling allowed templates. Template with alias 'StandardTextPage' could not be found.
 2016-05-01 21:27:25,799 [P3692/D2/T130] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling default template. Default template with alias 'StandardTextPage' could not be found.
 2016-05-01 21:27:25,810 [P3692/D2/T130] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling creation of PropertyType 'Page Images Album'. Could not find DataTypeDefintion with unique id '1210b025-1df2-4bcb-ad22-9401047fde80' nor one referencing the DataType with a property editor alias (or legacy control id) 'Umbraco.MultiNodeTreePicker'. Did the package creator forget to package up custom datatypes? This property will be converted to a label/readonly editor if one exists.
 2016-05-01 21:28:13,785 [P3692/D2/T118] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling DocumentType structure. DocumentType with alias 'SlidersContainer' could not be found and was not added to the structure for 'GlobalSettings'.
